"Restaurant";"Review_Date";"User_Name";"User_Reviews";"User_Restaurant_Reviews";"User_Helpful_Votes"
"Ritz Restaurant";"11/12/2015";"Iain U";60;33;29
"Ritz Restaurant";"11/12/2015";"Darius S";2;0;4
"Ritz Restaurant";"11/5/2015";"Jonathan A";4;3;3
"Ritz Restaurant";"11/5/2015";"Juliesamari";39;23;14
"Ritz Restaurant";"11/5/2015";"Novajane";6;6;3
"Ritz Restaurant";"11/5/2015";"Jeanettehaga";3;0;1
"Ritz Restaurant";"11/5/2015";"Knut Marius S";8;7;3
"Ritz Restaurant";"10/29/2015";"malcjones";12;4;25
"Ritz Restaurant";"10/29/2015";"Dai S";39;21;15
"Ritz Restaurant";"10/29/2015";"Unni S";2;0;3
"Ritz Restaurant";"10/29/2015";"Corniglia123";2;0;2
"Ritz Restaurant";"10/22/2015";"Jakub P";7;7;15
"Ritz Restaurant";"10/22/2015";"Tori K";67;51;46
"Ritz Restaurant";"10/22/2015";"j0annaa2015";1;0;8
"Ritz Restaurant";"10/15/2015";"Margo K";14;13;8
"Ritz Restaurant";"10/14/2015";"conejito0869";3;0;14
"Ritz Restaurant";"10/11/2015";"Taylordiva";12;8;7
"Ritz Restaurant";"10/8/2015";"Carsten P";3;0;5
"Ritz Restaurant";"10/4/2015";"Bart K";6;4;21
"Ritz Restaurant";"10/4/2015";"AgataStar";116;80;56
"Ritz Restaurant";"10/4/2015";"Eirik N";5;4;3
"Ritz Restaurant";"9/27/2015";"Ollstar";5;4;3
"Ritz Restaurant";"9/24/2015";"albanissima";2;0;10
"Ritz Restaurant";"9/24/2015";"2408al";4;4;7
"Ritz Restaurant";"9/23/2015";"VG73";12;6;14
"Ritz Restaurant";"9/19/2015";"Jakub P";7;7;15
"Ritz Restaurant";"9/13/2015";"Maurice w";4;4;3
"Ritz Restaurant";"8/23/2015";"Jane W";3;3;4
"Ritz Restaurant";"8/22/2015";"Heggvin";83;30;30
"Ritz Restaurant";"8/20/2015";"TimKJ";31;20;6
"Ritz Restaurant";"8/20/2015";"Ynte";6;4;1
"Ritz Restaurant";"8/18/2015";"John Q";1;0;1
"Ritz Restaurant";"8/16/2015";"Artur M";1;0;1
"Ritz Restaurant";"8/13/2015";"gregroberts2014";3;3;6
"Ritz Restaurant";"8/11/2015";"Lila O";7;5;2
"Ritz Restaurant";"8/11/2015";"Aleksandra S";1;0;2
"Ritz Restaurant";"8/6/2015";"Hans-Are";11;8;4
"Ritz Restaurant";"8/5/2015";"Ron v";68;47;15
"Ritz Restaurant";"7/23/2015";"Micha M";1;0;2
"Ritz Restaurant";"7/22/2015";"jtowies";56;31;71
"Ritz Restaurant";"7/19/2015";"LadyItameri";4;3;0
"Ritz Restaurant";"7/9/2015";"Sophie B";1;0;2
"Ritz Restaurant";"7/7/2015";"Ewa W";10;8;5
"Ritz Restaurant";"6/30/2015";"Divert2015";7;7;3
"Ritz Restaurant";"6/29/2015";"Mikethebike476";4;4;6
"Ritz Restaurant";"6/21/2015";"Przemek W";3;0;2
"Ritz Restaurant";"6/15/2015";"laineyling";13;3;11
"Ritz Restaurant";"6/1/2015";"Britt-Marie S";7;5;0
"Ritz Restaurant";"5/27/2015";"kruuza";170;98;78
"Ritz Restaurant";"5/24/2015";"Kamalkalsi";1;0;4
"Ritz Restaurant";"5/1/2015";"Eirin T";1;0;1
"Ritz Restaurant";"3/20/2015";"AWFriz";1;0;0
"Ritz Restaurant";"3/8/2015";"conrad14";37;18;46
"Ritz Restaurant";"2/18/2015";"JJdub1";8;5;8
"Ritz Restaurant";"11/11/2014";"AnjaFJ";54;42;45
"Ritz Restaurant";"11/9/2014";"JacekBJ";437;253;364
"Ritz Restaurant";"11/5/2014";"laputaLondon";7;0;7
